step,mloss,gloss,loss
23700.0,0.5855,0.3524,0.9379
23800.0,0.5931,0.3524,0.9455
23900.0,0.5921,0.3514,0.9435
24000.0,0.5904,0.3521,0.9425000000000001
24100.0,0.5933,0.3511,0.9444000000000001
24200.0,0.5941,0.3531,0.9472
24300.0,0.5897,0.3515,0.9412
24400.0,0.5931,0.3521,0.9452
24500.0,0.5892,0.3517,0.9409
24600.0,0.5896,0.351,0.9406
24700.0,0.5889,0.3509,0.9398
24800.0,0.5866,0.3503,0.9369000000000001
24900.0,0.5893,0.3527,0.9420000000000001
25000.0,0.5881,0.3507,0.9388
25100.0,0.5899,0.3507,0.9406
25200.0,0.5847,0.3495,0.9341999999999999
25300.0,0.5828,0.3503,0.9331
25400.0,0.5832,0.3491,0.9323000000000001
25500.0,0.5843,0.3503,0.9346000000000001
25600.0,0.5852,0.35,0.9352
25700.0,0.5882,0.3502,0.9383999999999999
25800.0,0.5905,0.3493,0.9398
25900.0,0.5928,0.3488,0.9416
26000.0,0.5863,0.3489,0.9352
26100.0,0.5843,0.3493,0.9336
26200.0,0.5818,0.3481,0.9299
26300.0,0.5847,0.348,0.9327
26400.0,0.5823,0.3484,0.9307000000000001
26500.0,0.5815,0.3476,0.9291
26600.0,0.5812,0.3484,0.9296
26700.0,0.5843,0.3484,0.9327000000000001
26800.0,0.5808,0.3478,0.9286
26900.0,0.5866,0.3486,0.9352
27000.0,0.583,0.3468,0.9298
27100.0,0.584,0.348,0.9319999999999999
27200.0,0.584,0.3476,0.9316
27300.0,0.5845,0.3474,0.9319
27400.0,0.5848,0.3474,0.9321999999999999
27500.0,0.5777,0.3479,0.9256
27600.0,0.5772,0.3476,0.9248000000000001
27700.0,0.5831,0.3473,0.9303999999999999
27800.0,0.5765,0.3467,0.9232
27900.0,0.5776,0.3476,0.9252
28000.0,0.5822,0.3465,0.9287000000000001
28100.0,0.579,0.3464,0.9254
28200.0,0.5809,0.3454,0.9262999999999999
28300.0,0.5776,0.3458,0.9234
28400.0,0.5773,0.346,0.9233
28500.0,0.5773,0.3453,0.9226000000000001
28600.0,0.5789,0.3462,0.9251
28700.0,0.5765,0.3449,0.9214
28800.0,0.5743,0.3457,0.92
28900.0,0.5798,0.3455,0.9253
29000.0,0.5764,0.3446,0.921
29100.0,0.5778,0.3454,0.9232
29200.0,0.5837,0.3454,0.9291
29300.0,0.5758,0.3444,0.9201999999999999
29400.0,0.5788,0.3454,0.9241999999999999
29500.0,0.5738,0.344,0.9178
29600.0,0.5789,0.345,0.9238999999999999
29700.0,0.5778,0.3443,0.9220999999999999
29800.0,0.5752,0.343,0.9182000000000001
29900.0,0.5751,0.3445,0.9196
30000.0,0.5747,0.3444,0.9191
